date,sku,demand
2026-03-21,SKU-001,81.8
2026-03-22,SKU-001,83.4
2026-03-23,SKU-001,96.6
2026-03-24,SKU-001,91.5
2026-03-25,SKU-001,63.9
2026-03-26,SKU-001,61.5
2026-03-27,SKU-001,72.6
2026-03-28,SKU-001,79.6
2026-03-29,SKU-001,91.0
2026-03-30,SKU-001,88.5
2026-03-31,SKU-001,55.5
2026-04-01,SKU-001,81.8
2026-04-02,SKU-001,71.2
2026-04-03,SKU-001,80.1
2026-04-04,SKU-001,85.7
2026-04-05,SKU-001,87.4
2026-04-06,SKU-001,97.3
2026-04-07,SKU-001,83.0
2026-04-08,SKU-001,83.8
2026-04-09,SKU-001,72.0
2026-04-10,SKU-001,73.7
2026-04-11,SKU-001,80.3
2026-04-12,SKU-001,101.3
2026-04-13,SKU-001,95.6
2026-04-14,SKU-001,87.7
2026-04-15,SKU-001,77.9
2026-04-16,SKU-001,77.0
2026-04-17,SKU-001,78.5
2026-04-18,SKU-001,88.4
2026-04-19,SKU-001,98.1
2026-04-20,SKU-001,110.9
2026-04-21,SKU-001,89.3
2026-04-22,SKU-001,78.4
2026-04-23,SKU-001,70.4
2026-04-24,SKU-001,81.5
2026-04-25,SKU-001,94.1
2026-04-26,SKU-001,96.3
2026-04-27,SKU-001,94.4
2026-04-28,SKU-001,88.2
2026-04-29,SKU-001,86.9
2026-04-30,SKU-001,81.2
2026-05-01,SKU-001,82.5
2026-05-02,SKU-001,84.8
2026-05-03,SKU-001,99.8
2026-05-04,SKU-001,101.6
2026-05-05,SKU-001,96.0
2026-05-06,SKU-001,89.7
2026-05-07,SKU-001,79.5
2026-05-08,SKU-001,84.8
2026-05-09,SKU-001,90.7
2026-05-10,SKU-001,101.6
2026-05-11,SKU-001,106.2
2026-05-12,SKU-001,87.4
2026-05-13,SKU-001,84.0
2026-05-14,SKU-001,76.8
2026-05-15,SKU-001,78.3
2026-05-16,SKU-001,90.1
2026-05-17,SKU-001,110.3
2026-05-18,SKU-001,98.7
2026-05-19,SKU-001,103.4
2026-05-20,SKU-001,77.3
2026-05-21,SKU-001,79.1
2026-05-22,SKU-001,84.6
2026-05-23,SKU-001,96.8
2026-05-24,SKU-001,107.1
2026-05-25,SKU-001,110.1
2026-05-26,SKU-001,97.0
2026-05-27,SKU-001,86.1
2026-05-28,SKU-001,87.7
2026-05-29,SKU-001,84.0
2026-05-30,SKU-001,87.1
2026-05-31,SKU-001,97.5
2026-06-01,SKU-001,101.3
2026-06-02,SKU-001,103.5
2026-06-03,SKU-001,49.6
2026-06-04,SKU-001,88.2
2026-06-05,SKU-001,84.0
2026-06-06,SKU-001,97.1
2026-06-07,SKU-001,109.5
2026-06-08,SKU-001,106.4
2026-06-09,SKU-001,104.8
2026-06-10,SKU-001,87.8
2026-06-11,SKU-001,83.3
2026-06-12,SKU-001,85.8
2026-06-13,SKU-001,90.5
2026-06-14,SKU-001,110.2
2026-06-15,SKU-001,106.9
2026-06-16,SKU-001,103.6
2026-06-17,SKU-001,96.2
2026-06-18,SKU-001,89.7
2026-06-19,SKU-001,55.6
2026-06-20,SKU-001,98.5
2026-06-21,SKU-001,106.2
2026-06-22,SKU-001,110.8
2026-06-23,SKU-001,94.8
2026-06-24,SKU-001,86.1
2026-06-25,SKU-001,80.5
2026-06-26,SKU-001,85.0
2026-06-27,SKU-001,103.0
2026-06-28,SKU-001,104.7
2026-06-29,SKU-001,110.4
2026-06-30,SKU-001,114.2
2026-07-01,SKU-001,94.1
2026-07-02,SKU-001,94.4
2026-07-03,SKU-001,86.9
2026-07-04,SKU-001,100.8
2026-07-05,SKU-001,106.0
2026-07-06,SKU-001,112.1
2026-07-07,SKU-001,112.9
2026-07-08,SKU-001,87.3
2026-07-09,SKU-001,94.0
2026-07-10,SKU-001,95.4
2026-07-11,SKU-001,100.0
2026-07-12,SKU-001,104.4
2026-07-13,SKU-001,116.1
2026-07-14,SKU-001,106.2
2026-07-15,SKU-001,100.6
2026-07-16,SKU-001,93.0
2026-07-17,SKU-001,105.0
2026-07-18,SKU-001,103.6
2026-03-21,SKU-002,87.9
2026-03-22,SKU-002,100.8
2026-03-23,SKU-002,101.6
2026-03-24,SKU-002,98.6
2026-03-25,SKU-002,82.5
2026-03-26,SKU-002,88.4
2026-03-27,SKU-002,85.8
2026-03-28,SKU-002,87.9
2026-03-29,SKU-002,100.3
2026-03-30,SKU-002,110.8
2026-03-31,SKU-002,107.8
2026-04-01,SKU-002,104.5
2026-04-02,SKU-002,103.8
2026-04-03,SKU-002,91.4
2026-04-04,SKU-002,92.6
2026-04-05,SKU-002,95.4
2026-04-06,SKU-002,112.3
2026-04-07,SKU-002,99.6
2026-04-08,SKU-002,91.8
2026-04-09,SKU-002,84.4
2026-04-10,SKU-002,89.8
2026-04-11,SKU-002,106.7
2026-04-12,SKU-002,110.9
2026-04-13,SKU-002,111.5
2026-04-14,SKU-002,100.0
2026-04-15,SKU-002,86.0
2026-04-16,SKU-002,86.9
2026-04-17,SKU-002,92.1
2026-04-18,SKU-002,112.7
2026-04-19,SKU-002,112.5
2026-04-20,SKU-002,120.2
2026-04-21,SKU-002,105.0
