shipment_id,sku,on_time,lead_time_days
0,SKU-001,1,1.7
1,SKU-002,1,3.5
2,SKU-003,1,3.1
3,SKU-005,1,6.2
4,SKU-005,1,4.4
5,SKU-001,1,5.5
6,SKU-004,1,2.4
7,SKU-001,1,6.4
8,SKU-004,1,4.0
9,SKU-002,1,4.0
10,SKU-003,1,6.4
11,SKU-004,0,3.4
12,SKU-003,1,3.5
13,SKU-005,1,4.4
14,SKU-003,1,2.1
15,SKU-005,1,3.1
16,SKU-004,1,2.5
17,SKU-002,1,2.0
18,SKU-004,1,5.8
19,SKU-003,1,4.4
20,SKU-003,1,3.3
21,SKU-001,1,3.5
22,SKU-001,1,3.7
23,SKU-003,1,4.7
24,SKU-001,1,6.1
25,SKU-005,1,6.2
26,SKU-005,1,3.5
27,SKU-004,1,3.1
28,SKU-004,1,3.8
29,SKU-003,1,4.3
30,SKU-001,1,3.8
31,SKU-002,1,4.8
32,SKU-003,1,4.3
33,SKU-005,1,3.1
34,SKU-002,1,3.2
35,SKU-003,1,3.4
36,SKU-002,1,2.0
37,SKU-001,1,2.3
38,SKU-001,1,5.1
39,SKU-002,1,3.4
40,SKU-001,1,2.6
41,SKU-001,1,4.3
42,SKU-002,0,5.3
43,SKU-002,1,2.8
44,SKU-003,1,5.6
45,SKU-001,1,6.1
46,SKU-002,1,4.5
47,SKU-003,1,4.8
48,SKU-005,1,1.8
49,SKU-004,1,6.2
50,SKU-005,1,3.5
51,SKU-002,1,6.1
52,SKU-003,1,4.4
53,SKU-003,1,1.5
54,SKU-005,1,1.7
55,SKU-005,1,4.9
56,SKU-005,0,4.3
57,SKU-004,1,1.6
58,SKU-003,1,5.2
59,SKU-003,1,5.8
60,SKU-005,1,4.0
61,SKU-002,1,3.8
62,SKU-002,1,1.5
63,SKU-005,1,5.4
64,SKU-002,1,3.2
65,SKU-002,1,5.9
66,SKU-003,1,3.4
67,SKU-002,1,4.3
68,SKU-005,1,2.9
69,SKU-005,1,2.3
70,SKU-002,1,5.4
71,SKU-003,1,4.0
72,SKU-005,1,4.2
73,SKU-004,1,6.3
74,SKU-002,1,6.3
75,SKU-003,1,5.8
76,SKU-004,1,2.4
77,SKU-004,1,4.5
78,SKU-001,1,5.9
79,SKU-002,1,3.4
80,SKU-005,1,2.0
81,SKU-002,1,5.6
82,SKU-002,1,3.9
83,SKU-002,1,4.3
84,SKU-001,1,6.4
85,SKU-001,1,4.5
86,SKU-002,1,3.6
87,SKU-005,1,3.3
88,SKU-001,1,3.6
89,SKU-002,1,2.1
90,SKU-001,1,5.5
91,SKU-003,1,5.7
92,SKU-002,1,2.9
93,SKU-004,1,3.0
94,SKU-003,1,5.9
95,SKU-004,1,1.6
96,SKU-004,1,4.1
97,SKU-003,1,3.8
98,SKU-005,1,5.0
99,SKU-003,1,2.3
100,SKU-005,1,4.8
101,SKU-005,1,3.4
102,SKU-003,1,4.6
